Feature,SHAP Importance
1204,0.00030000543
1108,0.0002966038
517,0.0002898978
1372,0.00028948445
1128,0.00028863963
1431,0.00028819687
860,0.00028446165
1541,0.00028241889
1120,0.0002787523
1306,0.00027203036
753,0.0002711707
1167,0.00026532513
1319,0.00026438074
1136,0.000261245
369,0.00026066077
1437,0.00025999625
1212,0.0002596403
441,0.0002584102
1572,0.00025640777
803,0.0002542827
599,0.00025383072
1066,0.0002511509
955,0.00024873595
1434,0.00024486473
594,0.00024435986
1499,0.00024335395
643,0.00024319143
742,0.00024117992
976,0.00023976107
1117,0.00023888877
1191,0.00023553647
1123,0.00023464882
637,0.00023452936
1568,0.00023136091
29,0.00022644487
1465,0.00022421691
1597,0.0002220152
859,0.00021962312
1276,0.00021937214
994,0.0002186152
1361,0.00021593856
430,0.00021522563
436,0.00021521338
387,0.00021470702
707,0.00021453797
451,0.00021317338
328,0.00021201109
595,0.00021167126
1474,0.00021111396
483,0.00020847515
1592,0.00020844043
1384,0.0002072155
1562,0.00020584803
1462,0.00020439373
899,0.00020416026
835,0.00019847065
30,0.00019555913
479,0.00019493973
1187,0.00019226773
1392,0.00019145096
1552,0.00019048178
403,0.00019025846
582,0.00018902897
421,0.00018787965
1234,0.00018755435
609,0.00018479722
469,0.00018346396
1058,0.00018234561
1193,0.0001820381
1227,0.00017987638
1494,0.00017873982
977,0.00017690205
875,0.00017400742
916,0.0001714996
1348,0.00017123995
176,0.00016894861
908,0.00016130648
348,0.00015963468
1288,0.00015785081
743,0.00015778745
1347,0.0001551095
675,0.00015464079
1256,0.00015322372
1314,0.00015163222
1603,0.00014961426
1040,0.00014947388
1621,0.00014777963
612,0.0001466089
1358,0.00014563682
1515,0.00014541544
679,0.00014457444
726,0.00014305521
1523,0.00014278933
8,0.00014148699
1421,0.00014054426
1073,0.00013976544
695,0.00013970087
700,0.00013792257
1339,0.0001378579
1543,0.00013377941
1062,0.0001329443
59,0.00013055865
1555,0.00012638989
375,0.00012385983
892,0.000123525
547,0.00012245325
1280,0.00012084937
71,0.00012080962
974,0.00012052202
1385,0.00012047449
2,0.00011975503
1023,0.000115974246
1492,0.00011563582
15,0.00011364555
1331,0.000112621805
144,0.00011257265
693,0.00011207518
16,0.00011194975
1195,0.00011159175
34,0.00011058779
658,0.00011011364
136,0.000109128036
1220,0.000103983875
1069,0.00010180225
1613,0.00010179318
1532,0.00010171125
23,0.000100527956
442,9.9439865e-05
1483,9.9323035e-05
399,9.450915e-05
13,9.3622075e-05
1105,9.294825e-05
1529,9.266254e-05
1370,9.221475e-05
389,9.116012e-05
1,8.967978e-05
384,8.94704e-05
680,8.878896e-05
1443,8.851283e-05
613,8.685348e-05
1232,8.497718e-05
0,8.388589e-05
65,8.3281266e-05
890,8.298063e-05
32,8.243103e-05
5,8.216779e-05
3,8.135819e-05
1096,8.0005004e-05
10,7.945438e-05
204,7.443835e-05
115,7.260226e-05
1307,7.2331524e-05
1382,7.1926945e-05
764,7.1523966e-05
1322,7.116184e-05
4,7.1095616e-05
1009,6.9952686e-05
664,6.969983e-05
125,6.924171e-05
1269,6.865596e-05
461,6.6737004e-05
99,6.662068e-05
11,6.5909786e-05
1356,6.571167e-05
650,6.537878e-05
43,6.475286e-05
1206,6.425509e-05
80,6.370635e-05
1292,6.300625e-05
47,6.227481e-05
21,6.2235995e-05
41,6.0146256e-05
45,5.8719204e-05
356,5.8715283e-05
1118,5.7139976e-05
19,5.4110973e-05
12,5.148051e-05
67,5.0892024e-05
92,4.982309e-05
20,4.960513e-05
81,4.9083184e-05
53,4.7906913e-05
52,4.7467474e-05
639,4.6227513e-05
1457,4.5841138e-05
17,4.5819575e-05
449,4.5779838e-05
54,4.554198e-05
156,4.544667e-05
180,4.4989276e-05
1134,4.4926233e-05
164,4.4049873e-05
89,4.400809e-05
135,4.3646673e-05
1255,4.3417884e-05
82,4.253435e-05
18,4.2034793e-05
64,4.2004824e-05
69,4.1261992e-05
248,3.98915e-05
701,3.926216e-05
31,3.918056e-05
120,3.9116247e-05
280,3.8692728e-05
25,3.681844e-05
68,3.6788686e-05
129,3.650005e-05
39,3.641403e-05
443,3.5377707e-05
112,3.5181834e-05
96,3.510867e-05
117,3.455966e-05
24,3.4053082e-05
61,3.353381e-05
83,3.333749e-05
66,3.3132746e-05
111,3.270974e-05
219,3.212705e-05
